case_order,UID,area,TimeZone,job,children,age,income,gender,churn,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,port_modem,tablet,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,tenure,monthly_charge,bandwidth_gb_year,timely_response,timely_fixes,timely_replacements,reliability,options,respectful_response,courteous_exchange,active_listening,internet_service_Fiber Optic,contract_One year,contract_Two Year,payment_method_Credit Card (automatic),payment_method_Electronic Check,payment_method_Mailed Check
1,e885b299883d4f9fb18e39c75155d990,Urban,America/Sitka,Environmental health practitioner,0,0.7209252390349075,-0.39877774033771896,Male,No,-0.6799776032108321,-0.6662817809861953,-1.0058516991026796,1,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,-1.0487462125145348,-0.003942558795863967,-1.138487026758293,5,5,5,3,4,4,3,4,True,True,False,True,False,False
2,f2de8bef964785f41a2959829830fb8a,Urban,America/Detroit,"Programmer, multimedia",1,-1.2599571596643748,-0.6419544475336846,Female,Yes,0.5703310909326953,-0.0052879506427475865,-1.0058516991026796,1,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,-1.2620011592580802,1.6303258974820913,-1.1858758365750726,3,4,3,3,4,3,4,4,True,False,False,False,False,False
3,f1784cfa9f6d92ae816197eb175d3c71,Urban,America/Los_Angeles,Chief Financial Officer,4,-0.14873044819892378,-1.07088496294323,Female,No,0.25234705329419904,-0.9967786961579193,-1.0058516991026796,1,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,-0.709939803296579,-0.29522481741427764,-0.6121377506525425,4,4,2,4,4,3,3,3,False,False,True,True,False,False
4,dc8a365077241bb5cd5ccd305136b05e,Suburban,America/Los_Angeles,Solicitor,1,-0.2453588578915717,-0.740524915554176,Male,No,1.6505058518829352,0.986202794872424,1.0175876473118841,0,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,-0.6595239638828064,-1.2265210716378776,-0.5618571466817585,4,4,4,2,5,4,3,3,False,False,True,False,False,True
5,aabb64a116e83fdc4befc1fbab1663f9,Suburban,America/Chicago,Medical illustrator,0,1.4456383117297669,0.009477921370873651,Male,Yes,-0.623156047089417,1.316699710044148,1.0175876473118841,1,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,-1.2425512017143743,-0.5280857047971815,-1.4281844686402452,4,4,4,3,4,4,4,5,True,False,False,False,False,True
6,97598fd95658c80500546bc1dd312994,Urban,America/New_York,Chief Technology Officer,3,1.4456383117297669,-0.6080721568450029,Female,No,-0.5312245011031589,0.986202794872424,2.0293073205191656,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,-1.0409751428135001,0.2883698820424217,-1.0767888928661473,3,3,3,2,4,3,3,3,False,True,False,False,True,False
7,87d1c4223e49156020564c01a88973b9,Suburban,America/New_York,"Surveyor, hydrographic",0,1.2523814923444712,-1.00499743131954,Male,Yes,0.3968171392224275,-0.6662817809861953,-1.0058516991026796,1,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,-0.8051442122278709,0.6402676647225805,-0.6796212586964383,6,5,6,4,1,5,5,5,False,False,False,False,True,False
8,fce3f21888317907de42e298d718ccce,Suburban,America/Chicago,Sales promotion account executive,2,-1.115014545125403,-0.4626942456000044,Female,Yes,-0.7427124195663637,1.316699710044148,-1.0058516991026796,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,-1.1444758337339471,-1.3430982633741453,-1.1041299460065446,2,2,2,5,2,3,4,5,False,False,False,False,False,True
9,6c7043ced703b84de29766af3d53c976,Suburban,America/New_York,Teaching laboratory technician,2,-0.19704465304524774,0.6676801523191915,Nonbinary,No,-1.432469057306725,2.638687370731043,1.0175876473118841,3,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,-0.9948475885163598,-1.2844669060845046,-0.9516201278501973,5,4,4,3,4,3,4,4,False,False,False,False,False,False
10,6ffe183271258a039e122ced8750b2a0,Rural,America/New_York,Museum education officer,1,1.5905809262687387,0.3696817477171092,Female,No,-0.4348389167038134,1.9776935403875957,0.005867974104602262,0,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,-1.1763258177700682,-0.23618767028397689,-1.319603139560853,2,2,2,2,5,2,3,3,True,False,True,False,False,True
11,6271cceddef89e353881b8c38b5674b1,Urban,America/New_York,"Teacher, special educational needs",7,-1.4532139790496708,-0.6108914550769511,Female,No,-0.22185659578786143,-0.9967786961579193,-1.0058516991026796,2,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,-0.5770772231059956,0.05433745551954222,-0.3036692559674181,4,4,4,7,3,3,3,4,False,False,False,False,False,True
12,073356b840a6f10f65bebf6c9c168b3a,Rural,America/Puerto_Rico,Maintenance engineer,2,0.14115478087901998,-0.7612036701709215,Female,No,-1.1159833426546335,1.6471966252158718,0.005867974104602262,1,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,-0.9078143071046398,-0.527764868835358,-1.012157858334297,4,4,3,4,4,4,3,4,True,False,False,False,True,False
13,fe004e8605f165c2c59064fca86389d5,Rural,America/Chicago,"Engineer, broadcasting (operations)",0,1.4456383117297669,1.5555488005587546,Male,No,-0.5806612799430625,-0.9967786961579193,-1.0058516991026796,0,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,-0.8136641324836795,-0.8193965142531648,-1.0049277035553403,1,2,1,4,3,2,3,3,True,False,False,False,False,False
14,2a93472e2def0e9ea2ead2f8c15c80c9,Urban,America/New_York,Learning disability nurse,5,-1.1633287499717269,2.670625225254079,Female,No,-1.3848998900506508,0.6557058797007002,0.005867974104602262,0,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,-0.6673905557377415,0.28752742274395915,-0.6606519202176776,5,6,5,2,4,5,4,4,True,False,True,False,False,False
15,82e2317aca04b63397b31395029f50bf,Urban,America/Chicago,Automotive engineer,1,-1.115014545125403,0.8670630510548126,Male,Yes,0.6011290888937205,-0.6662817809861953,2.0293073205191656,0,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,-0.9252790723682481,-0.2948056836666627,-0.8283261280844844,3,3,4,2,3,4,4,2,False,False,False,False,False,False
16,d43e8bc69c074903d9c618596562747e,Suburban,America/Chicago,Amenity horticulturist,3,-0.6801867015084874,1.746706795659964,Male,Yes,0.26769363903760607,0.3252089645289763,0.005867974104602262,0,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,-0.7811957463028438,0.11704315239957072,-0.7103868401018525,3,3,3,2,4,3,5,2,False,True,False,False,True,False
17,c2b766b12c3780537d74b858ae602a93,Urban,America/Los_Angeles,Applications developer,0,0.4793542148032877,-0.28893823584972883,Female,Yes,1.1831829342716649,0.3252089645289763,0.005867974104602262,0,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,-0.7088806634846492,0.5202835849094483,-0.604966841184781,3,4,4,3,5,4,4,3,False,False,False,False,False,False
18,66c10f561f108fd744c68c6c5b388c53,Rural,America/New_York,Immunologist,2,0.3344116002643158,0.15376286693651808,Male,Yes,-0.05735514010217622,1.316699710044148,2.0293073205191656,0,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,-1.218636000354586,0.6999856072733608,-1.1487550410882605,2,2,4,3,3,4,3,3,False,False,True,False,False,True
19,90c4427b652ec11afec04bd3c73c88d2,Rural,America/Chicago,"Engineer, electrical",3,0.3827258051106398,-0.019319702896465674,Female,No,-0.14353530992114066,-0.3357848658144715,0.005867974104602262,0,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-0.6586643495147995,-0.46887827730447623,-0.7135525973023463,3,4,3,4,3,2,3,5,False,False,True,False,False,False
20,34cb26f446dde7d77a6ecc5d7e106942,Rural,America/Chicago,Broadcast presenter,3,-1.4532139790496708,-0.7203281013521748,Male,Yes,0.30935918021572856,-0.6662817809861953,0.005867974104602262,0,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,-0.8214296515667315,-0.5281706586760181,-0.6581869982279508,5,5,5,4,4,4,3,3,False,False,False,True,False,False
21,21877fa7a1ff6e02e419246b1211b228,Rural,America/Chicago,Counsellor,4,-0.7285009063548112,-0.006479661250661224,Male,No,0.6946013958706415,0.6557058797007002,-1.0058516991026796,3,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,-0.5321993969828047,0.28768908662194215,-0.48601005518490786,2,3,3,2,4,2,3,3,True,False,False,False,False,False
22,994c0d689a45958a51dde0312f52258b,Suburban,America/New_York,Geophysical data processor,3,-1.115014545125403,0.20949844252423616,Male,No,-1.0138305010199666,1.9776935403875957,0.005867974104602262,0,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,-1.2143752859646828,-1.0509561028982644,-1.280548499448172,5,5,4,4,3,4,3,5,True,False,True,False,False,False
23,3bc3a28af4d353a18ab1173dabdc6496,Urban,America/Chicago,"Designer, multimedia",3,-0.05210203850627586,-0.4384947371660538,Male,No,-0.21132390956102817,1.316699710044148,0.005867974104602262,1,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,-1.054162420093918,-1.1099082961497284,-1.2261101571312558,3,3,3,2,2,3,5,5,True,False,False,False,True,False
24,adab17955634cf8ec0cd47d8d89c352c,Urban,America/New_York,Event organiser,2,0.7209252390349075,1.4147094275241294,Male,No,-0.972100660670392,-0.9967786961579193,-1.0058516991026796,0,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,-0.9826308773775781,-0.5280857047971815,-1.1197956245812268,4,4,3,5,3,4,4,3,True,True,False,False,True,False
25,c741e189e7837dca1ae8e031402b447d,Rural,America/New_York,Equality and diversity officer,3,1.0591246729591752,-0.40025547816570994,Female,Yes,1.2587683298101524,0.986202794872424,0.005867974104602262,0,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,-1.0875153205165573,-0.2355068748634973,-1.1539420665647315,3,3,4,2,4,4,3,4,False,False,False,True,False,False
26,6cab409a353f4b1e618308bb6383f4ae,Suburban,America/New_York,Counsellor,1,1.1557530826518232,-0.9662957364834148,Male,Yes,-0.07869298174822566,-0.0052879506427475865,0.005867974104602262,0,No,No,Yes,Yes,No,No,No,No,No,No,No,No,-1.1485071989623208,-1.866975020280065,-1.1980894716016361,4,4,4,4,2,4,5,5,False,False,False,False,False,False
27,f7184e21cba24f672130af4181ace3fc,Rural,America/Denver,Psychiatrist,1,-0.2936730627378957,-1.1009340719225875,Female,Yes,1.9694276252560166,0.986202794872424,-1.0058516991026796,1,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,-0.9122140515257888,1.164975772648398,-0.8630365474292174,5,3,5,3,3,5,4,4,True,False,False,False,False,True
28,8f35529b5d78c0c900635ceebf6b84cb,Urban,America/Detroit,"Surveyor, commercial/residential",0,0.8175536487275554,0.1445393288591926,Female,Yes,1.5909020495836605,-0.0052879506427475865,-1.0058516991026796,0,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,-1.25308568712767,-0.7601890867604595,-1.360658197363495,2,2,3,4,4,2,2,2,False,False,False,False,True,False
29,1e083de4b0dfeed53263515c8b8b26eb,Urban,America/New_York,Civil Service administrator,3,-1.5981565935886426,-1.039927649841606,Female,Yes,1.1538580952306203,0.3252089645289763,1.0175876473118841,0,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,-1.2516498984328337,0.640588500684404,-0.9760846270524461,3,4,3,3,2,4,4,2,False,True,False,False,False,False
30,82bbe8f8a091353aad86806f5fabc658,Suburban,America/New_York,"Radiographer, diagnostic",4,0.7692394438812314,-0.22569056033152565,Male,Yes,0.20695223342775257,1.9776935403875957,0.005867974104602262,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,-1.100544923191214,1.9800783851314638,-0.7538103880389817,4,4,4,3,2,5,5,4,False,False,True,True,False,False
31,2024dab5fff54350716edea719cb3a9b,Urban,America/New_York,Air traffic controller,9,-0.3903014724305436,0.1268369729922258,Male,No,-1.138751664278493,0.6557058797007002,-1.0058516991026796,0,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,-0.8866023841903011,1.3385895268468702,-0.7307735469823262,3,2,1,5,3,3,3,2,True,False,True,True,False,False
32,e82cf64d7a0e5a2f0ef56b6dc68b08bb,Rural,America/New_York,Dietitian,0,-0.6318724966621634,-0.6387943511129437,Female,No,-1.8655639512216549,0.3252089645289763,1.0175876473118841,0,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,-1.1701197658139526,-0.5853507438233292,-1.327056348209172,2,3,4,3,3,2,4,3,False,False,True,False,True,False
33,f1641e36607077033891129802343682,Rural,America/Los_Angeles,"Therapist, occupational",6,1.397324106883443,0.43100095231891816,Female,Yes,-0.4123840445518149,-0.9967786961579193,-1.0058516991026796,0,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,-1.1269605980785402,1.3385895268468702,-1.0883965188612057,4,4,4,5,2,5,3,5,True,False,False,False,True,False
34,5377bc298c0d723478837a5d98bc738b,Rural,America/Detroit,Building services engineer,5,1.0108104681128514,-0.49168656102826686,Male,Yes,0.3796264308214526,-1.3272756113296431,0.005867974104602262,1,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,-0.515357688285214,0.05433745551954222,-0.325637960287283,5,5,4,3,5,3,4,1,False,False,False,False,True,False
35,6db59b17dc83e5b8af6d312100ea2965,Urban,America/Chicago,Information officer,4,0.7692394438812314,-1.0140727345967455,Male,Yes,-1.4990771424928901,0.986202794872424,0.005867974104602262,0,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,-1.1744634661179154,2.2132683523558807,-1.0573597060308366,6,5,5,5,2,6,5,5,True,True,False,False,False,True
36,d8fc79b5e3193a0dd891a4b6afac838d,Suburban,America/Detroit,Outdoor activities/education manager,1,-0.05210203850627586,-1.1179186592837098,Male,Yes,1.2775350846767848,-0.3357848658144715,-1.0058516991026796,1,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,-1.098550980314668,-0.2361743263770214,-0.9987162631662837,4,2,3,4,3,3,4,3,False,False,False,False,False,True
37,f57314d251b601e0b1f18a432612c3ff,Suburban,America/New_York,Market researcher,2,-1.3082713645106987,-1.05296770207896,Female,Yes,2.119824427649595,1.316699710044148,0.005867974104602262,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,-1.1804516554861881,1.3359816663294255,-1.1416648784921675,4,3,5,5,2,4,5,5,True,False,False,True,False,False
38,cdcabd9f398e96aa39936f87adde7dc0,Urban,America/New_York,"Surveyor, insurance",1,-1.3565855693570228,-0.12687610775964053,Female,No,-0.18642708763845017,-0.9967786961579193,1.0175876473118841,0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,-1.0349026237845231,-0.7597302473211176,-0.9387813135210594,5,6,4,2,5,3,3,3,False,True,False,False,True,False
39,7d59e47c0a72bb47918543996d0990ba,Suburban,America/New_York,Office manager,1,0.6242968293422596,-0.5110017682611331,Female,No,2.29820503285419,-0.0052879506427475865,0.005867974104602262,0,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,-0.9333207387803955,0.2873682506601193,-1.0426335806062994,4,4,3,4,2,4,4,5,True,False,True,True,False,False
