case_order,UID,area,TimeZone,job,children,age,income,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,port_modem,tablet,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,bandwidth_gb_year,timely_response,timely_fixes,timely_replacements,reliability,options,respectful_response,courteous_exchange,active_listening,contract_One year,contract_Two Year,internet_service_Fiber Optic,gender_Male,gender_Nonbinary,churn_Yes,log_monthly_charge
1,e885b299883d4f9fb18e39c75155d990,Urban,America/Sitka,Environmental health practitioner,0,68,28561.99,7.978322947,10,0,1,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),-1.0487462125145348,-0.003942558795863967,-1.138487026758293,5,5,5,3,4,4,3,4,True,False,True,True,False,False,-0.003950351168795583
2,f2de8bef964785f41a2959829830fb8a,Urban,America/Detroit,"Programmer, multimedia",1,27,21704.77,11.69907956,12,0,1,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),-1.2620011592580802,1.6303258974820913,-1.1858758365750726,3,4,3,3,4,3,4,4,False,False,True,False,False,True,0.9671077539052253
3,f1784cfa9f6d92ae816197eb175d3c71,Urban,America/Los_Angeles,Chief Financial Officer,4,50,9609.57,10.75280028,9,0,1,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Credit Card (automatic),-0.709939803296579,-0.29522481741427764,-0.6121377506525425,4,4,2,4,4,3,3,3,False,True,False,False,False,False,-0.3498764169754103
4,dc8a365077241bb5cd5ccd305136b05e,Suburban,America/Los_Angeles,Solicitor,1,48,18925.23,14.91353964,15,2,0,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,-0.6595239638828064,-1.2265210716378776,-0.5618571466817585,4,4,4,2,5,4,3,3,False,True,False,True,False,False,
5,aabb64a116e83fdc4befc1fbab1663f9,Suburban,America/Chicago,Medical illustrator,0,83,40074.19,8.147416533,16,2,1,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Mailed Check,-1.2425512017143743,-0.5280857047971815,-1.4281844686402452,4,4,4,3,4,4,4,5,False,False,True,True,False,True,-0.7509578878439856
6,97598fd95658c80500546bc1dd312994,Urban,America/New_York,Chief Technology Officer,3,83,22660.2,8.420992898,15,3,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,-1.0409751428135001,0.2883698820424217,-1.0767888928661473,3,3,3,2,4,3,3,3,True,False,False,False,False,False,0.2533777619539457
7,87d1c4223e49156020564c01a88973b9,Suburban,America/New_York,"Surveyor, hydrographic",0,79,11467.5,11.18272453,10,0,1,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Electronic Check,-0.8051442122278709,0.6402676647225805,-0.6796212586964383,6,5,6,4,1,5,5,5,False,False,False,True,False,True,0.4948594387154673
8,fce3f21888317907de42e298d718ccce,Suburban,America/Chicago,Sales promotion account executive,2,30,26759.64,7.791632265,16,0,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,-1.1444758337339471,-1.3430982633741453,-1.1041299460065446,2,2,2,5,2,3,4,5,False,False,False,False,False,True,
9,6c7043ced703b84de29766af3d53c976,Suburban,America/New_York,Teaching laboratory technician,2,49,58634.51,5.739005915,20,2,3,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),-0.9948475885163598,-1.2844669060845046,-0.9516201278501973,5,4,4,3,4,3,4,4,False,False,False,False,True,False,
10,6ffe183271258a039e122ced8750b2a0,Rural,America/New_York,Museum education officer,1,86,50231.4,8.707823904,18,1,0,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,-1.1763258177700682,-0.23618767028397689,-1.319603139560853,2,2,2,2,5,2,3,3,False,True,True,False,False,False,-0.2694331617234426
