Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating,Strap Material,Average Battery Life,Reviews
Xiaomi,FitnessBand,Smart Band 5,Black,2499.0,2999.0,AMOLED Display,4.1,Thermoplastic polyurethane,14,0
Xiaomi,FitnessBand,Smart Band 4,Black,2099.0,2499.0,AMOLED Display,4.2,Thermoplastic polyurethane,14,0
Xiaomi,FitnessBand,HMSH01GE,Black,1722.0,2099.0,LCD Display,3.5,Leather,14,0
Xiaomi,FitnessBand,Smart Band 5,Black,2469.0,2999.0,AMOLED Display,4.1,Thermoplastic polyurethane,14,0
Xiaomi,FitnessBand,Band 3,Black,1799.0,2199.0,OLED Display,4.3,Plastic,7,0
Xiaomi,FitnessBand,Band - HRX Edition,Black,1299.0,1799.0,OLED Display,4.2,Plastic,20,0
Xiaomi,FitnessBand,Band 2,Black,2499.0,2499.0,OLED Display,4.3,Plastic,7,0
Xiaomi,Smartwatch,Revolve,Black,12349.0,15999.0,AMOLED Display,4.4,Silicone,14,2
Xiaomi,Smartwatch,RevolveActive,Black,12999.0,15999.0,AMOLED Display,4.4,Silicone,14,3
Xiaomi,FitnessBand,Smart Band 3i,Black,1270.0,1599.0,OLED Display,4.2,Thermoplastic polyurethane,7,0
OnePlus ,FitnessBand,Steven Harrington Edition Band,Blue,3299.0,3999.0,AMOLED Display,4.3,Thermoplastic polyurethane,7,0
OnePlus ,FitnessBand,Band,Dual Color,2499.0,2799.0,AMOLED Display,4.2,Thermoplastic polyurethane,7,0
FitBit,Smartwatch,Versa 2,"Grey, Pink, Black",11999.0,14999.0,AMOLED Display,4.3,Silicone,7,0
FitBit,Smartwatch,Sense,"Black, Pink, Beige",21499.0,22999.0,AMOLED Display,4.2,Elastomer,7,0
FitBit,Smartwatch,Versa 3,"Black, Blue, Pink",17999.0,18999.0,AMOLED Display,4.3,Elastomer,7,0
FitBit,FitnessBand,Charge 4,"Storm Blue, Black, Rosewood",9999.0,9999.0,PMOLED Display,4.2,Elastomer,7,0
FitBit,FitnessBand,Inspire,Maroon ,7990.0,7999.0,LED Display,4.2,Silicone,5,0
FitBit,FitnessBand,Inspire 2,"Black, Desert Rose, Lunar White",6999.0,7999.0,PMOLED Display,4.4,Thermoplastic polyurethane,10,0
FitBit,FitnessBand,Lunar,White ,10899.0,10999.0,AMOLED Display,4.7,Silicone,7,0
FitBit,FitnessBand,Charge 4,Granite Reflective ,10999.0,11999.0,PMOLED Display,4.2,Elastomer,7,0
FitBit,FitnessBand,FB413LVLV,Lilac ,8807.0,38500.0,AMOLED Display,4.1,Silicone,5,0
FitBit,FitnessBand,Flex Small,"Violet, black, Grey, Teal, Blue, Red",8490.0,8490.0,OLED Display,3.8,Rubber,5,0
FitBit,FitnessBand,Inspire HR,Black ,5599.0,8999.0,LED Display,4.3,Silicone,5,0
FitBit,FitnessBand,Inspire,Black ,5299.0,7999.0,LED Display,4.2,Silicone,5,0
FitBit,FitnessBand,Charge 3,Grey ,7599.0,13999.0,OLED Display,4.3,Silicone,7,0
FitBit,Smartwatch,Versa Special Edition,Charcoal ,10365.0,23499.0,AMOLED Display,4.1,Fabric,7,0
FitBit,Smartwatch,Ionic,Black ,18999.0,24999.0,LCD Display,4.1,Elastomer,7,0
FitBit,Smartwatch,Versa 2 Special Edition,Multicolor ,15499.0,23999.0,AMOLED Display,4.4,Silicone,7,0
FitBit,Smartwatch,Ionic,Blue ,22499.0,24999.0,LCD Display,4.1,Elastomer,7,0
FitBit,Smartwatch,Ionic,Grey ,26499.0,26499.0,LCD Display,4.1,Elastomer,7,0
FitBit,Smartwatch,Versa,Purple,16990.0,23499.0,AMOLED Display,4.1,Silicone,7,0
FitBit,Smartwatch,Versa,Grey ,17895.0,21499.0,AMOLED Display,4.2,Silicone,7,0
FitBit,Smartwatch,Surge,Blue,24990.0,24990.0,LCD Display,3.8,Elastomer,7,0
FitBit,FitnessBand,Charge 2,Black ,7499.0,14999.0,PMOLED Display,4.3,Silicone,7,0
FitBit,FitnessBand,Charge 3 Special Edition,"Purple, White",9999.0,15999.0,OLED Display,4.0,Silicone,7,0
FitBit,Smartwatch,Blaze,Purple,17999.0,19999.0,LCD Display,4.2,Elastomer,7,0
FitBit,Smartwatch,Blaze,Blue,19999.0,19999.0,LCD Display,4.2,Elastomer,7,0
FitBit,Smartwatch,Blaze,Black,22999.0,22999.0,LCD Display,4.2,Elastomer,7,0
FitBit,Smartwatch,Surge,Black,19990.0,19990.0,LCD Display,3.8,Elastomer,7,0
FitBit,FitnessBand,Alta HR,"Black, Plum, Grey",14999.0,14999.0,OLED Display,4.3,Elastomer,7,0
FitBit,FitnessBand,Charge 2,Plum silver,14999.0,14999.0,PMOLED Display,4.4,Silicone,7,0
FitBit,Smartwatch,Versa Lite Edition,Purple ,16999.0,16999.0,AMOLED Display,4.2,Elastomer,7,0
FitBit,Smartwatch,Surge,Orange,24990.0,24990.0,LCD Display,3.8,Elastomer,7,0
FitBit,Smartwatch,versa,Grey ,21499.0,21499.0,AMOLED Display,4.1,Silicone,7,0
FitBit,Smartwatch,Versa,Pink ,16124.0,19999.0,AMOLED Display,4.1,Silicone,7,0
FitBit,FitnessBand,Charge HR,Purple ,6990.0,14990.0,OLED Display,3.9,Thermoplastic polyurethane,7,0
FitBit,FitnessBand,Charge HR,"Orange, Pink, Green",14990.0,14990.0,OLED Display,3.9,Thermoplastic polyurethane,7,0
