YEAR,MONTH,DAY,DAY_OF_WEEK,ORG_AIRPORT,DEST_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
2025,1,1,3,LAX,ABQ,1045,1040.0,-5.0,1351,1336.0,-15.0
2025,1,1,3,LAX,ABQ,1315,1312.0,-3.0,1605,1606.0,1.0
2025,1,1,3,LAX,ABQ,1600,1649.0,49.0,1856,1942.0,46.0
2025,1,1,3,LAX,ABQ,1856,1850.0,-6.0,2156,2139.0,-17.0
2025,1,1,3,LAX,ACV,1623,1616.0,-7.0,1838,1814.0,-24.0
2025,1,1,3,LAX,ANC,1951,1948.0,-3.0,38,9.0,-29.0
2025,1,1,3,LAX,ASE,820,836.0,16.0,1158,1337.0,99.0
2025,1,1,3,LAX,ASE,935,929.0,-6.0,1309,1434.0,85.0
2025,1,1,3,LAX,ASE,945,1235.0,170.0,1323,1551.0,148.0
2025,1,1,3,LAX,ASE,1044,1244.0,120.0,1405,1626.0,141.0
2025,1,1,3,LAX,ASE,1236,1346.0,70.0,1617,1731.0,74.0
2025,1,1,3,LAX,ASE,1900,713.0,733.0,2220,1036.0,736.0
2025,1,1,3,LAX,ATL,620,632.0,12.0,1328,1320.0,-8.0
2025,1,1,3,LAX,ATL,725,732.0,7.0,1432,1420.0,-12.0
2025,1,1,3,LAX,ATL,825,820.0,-5.0,1534,1539.0,5.0
2025,1,1,3,LAX,ATL,903,901.0,-2.0,1620,1553.0,-27.0
2025,1,1,3,LAX,ATL,930,930.0,0.0,1649,1625.0,-24.0
2025,1,1,3,LAX,ATL,1050,1049.0,-1.0,1814,1750.0,-24.0
2025,1,1,3,LAX,ATL,1235,1246.0,11.0,1947,1946.0,-1.0
2025,1,1,3,LAX,ATL,1415,1413.0,-2.0,2124,2115.0,-9.0
2025,1,1,3,LAX,ATL,1432,1430.0,-2.0,2147,2243.0,56.0
2025,1,1,3,LAX,ATL,1615,1621.0,6.0,2331,2306.0,-25.0
2025,1,1,3,LAX,ATL,2121,2113.0,-8.0,434,411.0,-23.0
2025,1,1,3,LAX,ATL,2159,2244.0,45.0,516,535.0,19.0
2025,1,1,3,LAX,ATL,2235,2315.0,40.0,557,624.0,27.0
2025,1,1,3,LAX,ATL,2259,2302.0,3.0,612,603.0,-9.0
2025,1,1,3,LAX,ATL,2359,2358.0,-1.0,721,711.0,-10.0
2025,1,1,3,LAX,AUS,825,815.0,-10.0,1332,1313.0,-19.0
2025,1,1,3,LAX,AUS,859,1029.0,90.0,1405,1521.0,76.0
2025,1,1,3,LAX,AUS,1026,1023.0,-3.0,1539,1522.0,-17.0
2025,1,1,3,LAX,AUS,1055,1058.0,3.0,1555,1543.0,-12.0
2025,1,1,3,LAX,AUS,1415,1416.0,1.0,1911,1859.0,-12.0
2025,1,1,3,LAX,AUS,1615,1608.0,-7.0,2114,2055.0,-19.0
2025,1,1,3,LAX,AUS,1752,1744.0,-8.0,2300,2243.0,-17.0
2025,1,1,3,LAX,AUS,1915,1910.0,-5.0,10,2354.0,-16.0
2025,1,1,3,LAX,BNA,615,614.0,-1.0,1213,1157.0,-16.0
2025,1,1,3,LAX,BNA,850,850.0,0.0,1445,1448.0,3.0
2025,1,1,3,LAX,BNA,1000,955.0,-5.0,1602,1535.0,-27.0
2025,1,1,3,LAX,BNA,1500,1502.0,2.0,2050,2033.0,-17.0
2025,1,1,3,LAX,BOI,925,948.0,23.0,1242,1257.0,15.0
2025,1,1,3,LAX,BOI,1120,1115.0,-5.0,1443,1426.0,-17.0
2025,1,1,3,LAX,BOI,1820,1815.0,-5.0,2128,2113.0,-15.0
2025,1,1,3,LAX,BOI,1852,1847.0,-5.0,2213,2148.0,-25.0
2025,1,1,3,LAX,BOI,1945,1945.0,0.0,2258,2240.0,-18.0
2025,1,1,3,LAX,BOS,600,555.0,-5.0,1425,1356.0,-29.0
2025,1,1,3,LAX,BOS,755,750.0,-5.0,1623,1558.0,-25.0
2025,1,1,3,LAX,BOS,820,823.0,3.0,1653,1641.0,-12.0
2025,1,1,3,LAX,BOS,830,825.0,-5.0,1707,1655.0,-12.0
2025,1,1,3,LAX,BOS,1105,1052.0,-13.0,1930,1908.0,-22.0
2025,1,1,3,LAX,BOS,1214,1202.0,-12.0,2040,2012.0,-28.0
2025,1,1,3,LAX,BOS,1220,1222.0,2.0,2051,2036.0,-15.0
2025,1,1,3,LAX,BOS,1522,1509.0,-13.0,2347,2327.0,-20.0
2025,1,1,3,LAX,BOS,2039,2032.0,-7.0,501,430.0,-31.0
2025,1,1,3,LAX,BOS,2210,2206.0,-4.0,632,612.0,-20.0
2025,1,1,3,LAX,BOS,2255,2251.0,-4.0,726,656.0,-30.0
2025,1,1,3,LAX,BUF,2319,2339.0,20.0,701,709.0,8.0
2025,1,1,3,LAX,BWI,645,642.0,-3.0,1435,1416.0,-19.0
2025,1,1,3,LAX,BWI,830,845.0,15.0,1633,1633.0,0.0
2025,1,1,3,LAX,BWI,1045,1055.0,10.0,1843,1829.0,-14.0
2025,1,1,3,LAX,BWI,1455,1510.0,15.0,2245,2234.0,-11.0
2025,1,1,3,LAX,BWI,2300,2304.0,4.0,700,719.0,19.0
